0	0	0	0	290
1	0.7	10	5	293
2	1.1	20	11	296
3	1.5	30	18	298
4	1.9	40	26	300
5	2.3	50	36	301
6	2.6	60	48	302
7	2.9	70	52	302
8	3.2	80	67	303
9	3.5	90	87	303
10	3.8	100	112	304
15	5.2     -1      -1      -1              
20	6.4     -1      -1      -1                       
25	7.5     -1      -1      -1                   
30	8.5     -1      -1      -1                   
35	9.5     -1      -1      -1                   
40	10.6    -1      -1      -1                   
45	11.8    -1      -1      -1                  
50	13      -1      -1      -1                   
55	14.2    -1      -1      -1                    
60	15.3    -1      -1      -1                    
70	17.3    -1      -1      -1                   
80	19.1    -1      -1      -1                    
90	20.9    -1      -1      -1                    
100	22.7    -1      -1      -1                   
110	24.5    -1      -1      -1                    
120	26.3    -1      -1      -1                   
